Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Segment,Days since last purchase
45,other,Middle,Divorced,High School,High,Jewelry & Accessories,457.18,7,In-Store,4,3,2.0,High,Very Sensitive,2,6,Medium,Smartphone,Other,True,True,Wants-based,Express,10,Solid customer,275
38,Male,Middle,Single,Master's,High,Books,407.88,4,In-Store,1,3,1.0,,Very Sensitive,1,10,Medium,Tablet,Cash,False,False,Planned,Standard,14,Regular,192
30,Male,Middle,Widowed,Bachelor's,Middle,Books,448.68,8,In-Store,4,4,2.0,High,Somewhat Sensitive,1,3,Medium,Tablet,Debit Card,True,False,Wants-based,Express,8,Can't lose,362
40,Female,High,Widowed,Bachelor's,High,Electronics,255.96,7,Online,5,1,1.0,High,Very Sensitive,0,10,,Tablet,Cash,False,False,Need-based,No Preference,13,Regular,150
45,Male,Middle,Married,High School,High,Luxury Goods,146.07,7,In-Store,4,2,1.0,Low,Very Sensitive,1,6,,Tablet,Credit Card,True,True,Need-based,Standard,1,other,319
44,Female,High,Single,High School,Middle,Health Supplements,311.9,4,In-Store,2,4,2.0,Low,Very Sensitive,0,6,High,Smartphone,Credit Card,False,True,Planned,No Preference,2,other,143
38,Female,Middle,Widowed,High School,Middle,Gardening & Outdoors,301.6,4,Mixed,4,5,1.0,Low,Not Sensitive,2,10,High,Desktop,Credit Card,False,False,Impulsive,Standard,13,other,437
23,other,Middle,Widowed,Bachelor's,High,Software & Apps,297.45,3,Mixed,1,5,0.0,Medium,Very Sensitive,0,7,Low,Tablet,Debit Card,False,False,Planned,No Preference,4,other,319
30,other,High,Widowed,Bachelor's,High,Sports & Outdoors,157.26,3,Online,1,3,1.0,Medium,Not Sensitive,1,1,,Desktop,Cash,False,False,Need-based,Standard,8,other,302
42,Male,High,Widowed,Master's,Middle,Health Supplements,239.46,3,Mixed,3,1,0.0,Low,Not Sensitive,2,8,High,Desktop,Other,True,True,Planned,Standard,7,other,291
28,Female,High,Widowed,High School,High,Gardening & Outdoors,240.82,10,Mixed,1,3,2.0,High,Somewhat Sensitive,0,3,Medium,Tablet,PayPal,True,False,Planned,No Preference,8,Can't lose,506
44,Female,Middle,Single,Master's,High,Sports & Outdoors,302.07,6,Mixed,1,5,1.0,Medium,Not Sensitive,2,5,Medium,Desktop,Other,True,False,Planned,Express,13,At risk,408
45,Male,Middle,Widowed,Bachelor's,Middle,Software & Apps,367.99,2,Online,2,5,1.0,,Not Sensitive,2,2,High,Smartphone,Debit Card,False,False,Planned,Express,8,other,219
46,Female,High,Married,Master's,Middle,Groceries,359.75,7,In-Store,5,1,1.0,High,Not Sensitive,1,6,Low,Tablet,Other,False,False,Wants-based,Standard,3,other,485
28,Female,Middle,Divorced,Bachelor's,High,Packages),204.44,2,Mixed,5,3,2.0,,Somewhat Sensitive,1,3,High,Desktop,Debit Card,False,True,Impulsive,Standard,13,other,172
27,Male,High,Single,Master's,High,Gardening & Outdoors,228.93,7,Online,1,1,2.0,Low,Not Sensitive,2,2,Medium,Desktop,PayPal,True,True,Impulsive,Express,11,At risk,458
20,Female,High,Single,High School,Middle,Office Supplies,355.31,11,Online,1,1,0.0,High,Not Sensitive,1,2,Medium,Desktop,Debit Card,False,True,Impulsive,Express,12,Solid customer,276
40,Male,High,Married,High School,High,Animal Feed,334.67,12,In-Store,2,1,2.0,,Somewhat Sensitive,2,5,,Tablet,Debit Card,True,False,Need-based,Standard,13,Solid customer,185
36,Male,Middle,Widowed,Master's,Middle,Books,182.72,5,Online,2,1,2.0,High,Very Sensitive,1,7,,Desktop,Other,False,False,Impulsive,No Preference,13,other,352
43,Male,High,Widowed,High School,Middle,Jewelry & Accessories,260.22,11,In-Store,4,3,0.0,,Not Sensitive,2,5,High,Desktop,Credit Card,False,True,Need-based,Express,13,Solid customer,183
26,Female,High,Single,High School,Middle,Food & Beverages,454.93,8,Online,3,5,0.0,Low,Somewhat Sensitive,2,7,Medium,Desktop,Debit Card,False,False,Wants-based,No Preference,11,Can't lose,396
29,Male,Middle,Widowed,Bachelor's,High,Beauty & Personal Care,325.42,11,In-Store,2,4,2.0,Low,Not Sensitive,1,1,High,Desktop,Other,True,False,Impulsive,Express,7,Solid customer,214
34,Female,Middle,Widowed,High School,High,Jewelry & Accessories,351.36,2,In-Store,5,3,2.0,High,Very Sensitive,2,6,,Desktop,Other,False,True,Need-based,Standard,7,other,468
40,Male,High,Single,Bachelor's,Middle,Baby Products,333.63,8,Mixed,4,5,2.0,,Very Sensitive,2,2,High,Smartphone,Other,False,False,Need-based,Express,14,Solid customer,168
42,Female,High,Married,Bachelor's,Middle,Beauty & Personal Care,469.9,4,Mixed,2,5,1.0,Low,Not Sensitive,1,7,,Desktop,Cash,False,False,Planned,No Preference,7,other,328
28,Male,High,Married,Bachelor's,High,Mobile Accessories,207.52,4,In-Store,3,4,1.0,Low,Not Sensitive,1,8,High,Desktop,Debit Card,False,False,Impulsive,No Preference,2,other,289
49,Male,High,Single,Bachelor's,High,Toys & Games,125.89,7,In-Store,3,3,2.0,Low,Not Sensitive,1,6,Medium,Desktop,Debit Card,False,False,Wants-based,No Preference,13,other,181
46,Female,High,Single,Master's,Middle,Electronics,170.77,9,Online,5,2,1.0,Medium,Somewhat Sensitive,2,1,Low,Smartphone,Credit Card,False,False,Impulsive,No Preference,4,Regular,291
44,Female,High,Divorced,Master's,High,Electronics,63.91,2,Online,1,4,2.0,,Not Sensitive,0,6,Medium,Smartphone,Cash,False,True,Planned,No Preference,12,other,496
29,Male,High,Married,High School,Middle,Clothing,340.55,7,In-Store,4,5,0.0,Low,Not Sensitive,0,7,,Desktop,Credit Card,False,True,Planned,Express,1,other,184
47,Male,Middle,Divorced,Bachelor's,High,Software & Apps,378.14,6,Mixed,2,2,1.0,Medium,Very Sensitive,1,6,High,Smartphone,PayPal,False,False,Wants-based,Standard,7,other,260
37,Female,Middle,Married,Bachelor's,Middle,Toys & Games,235.84,9,Mixed,5,2,0.0,,Very Sensitive,2,3,,Desktop,Cash,False,False,Planned,No Preference,14,other,292
47,Male,High,Widowed,High School,Middle,Arts & Crafts,164.44,5,In-Store,5,1,2.0,Low,Somewhat Sensitive,1,10,High,Smartphone,Other,False,False,Impulsive,No Preference,5,other,409
24,Male,High,Married,Bachelor's,High,Sports & Outdoors,455.81,3,Online,2,3,1.0,Low,Somewhat Sensitive,1,6,Medium,Smartphone,Debit Card,False,False,Wants-based,Express,6,At risk,396
36,Male,High,Widowed,Master's,High,Health Care,298.32,7,In-Store,3,5,1.0,Low,Somewhat Sensitive,2,8,,Tablet,Other,True,False,Wants-based,Standard,12,Regular,339
36,Female,High,Single,Bachelor's,High,Hotels,351.71,7,In-Store,2,2,0.0,Medium,Very Sensitive,1,6,Medium,Tablet,Other,True,False,Need-based,Standard,8,other,429
49,Male,Middle,Divorced,Bachelor's,Middle,Toys & Games,393.48,11,In-Store,2,2,0.0,High,Very Sensitive,1,10,,Tablet,Other,True,True,Need-based,Standard,3,Solid customer,282
19,other,High,Single,High School,High,Office Supplies,241.72,6,Mixed,5,2,1.0,Medium,Not Sensitive,0,8,High,Desktop,Debit Card,False,True,Planned,Express,2,Regular,358
27,Female,High,Single,Bachelor's,High,Software & Apps,280.2,3,In-Store,4,2,0.0,Medium,Somewhat Sensitive,2,7,,Desktop,Other,False,False,Need-based,No Preference,13,other,170
36,Female,Middle,Single,Master's,Middle,Health Supplements,178.04,5,Mixed,1,1,2.0,,Somewhat Sensitive,2,10,High,Smartphone,Credit Card,True,True,Impulsive,Express,11,other,245
37,Male,High,Married,Master's,Middle,Packages),347.99,5,Mixed,4,4,1.0,Low,Somewhat Sensitive,0,1,High,Desktop,PayPal,True,False,Planned,Standard,6,At risk,426
45,Female,Middle,Single,Master's,High,Office Supplies,343.81,3,In-Store,3,5,0.0,High,Somewhat Sensitive,0,7,Medium,Desktop,Credit Card,False,True,Need-based,Standard,3,other,455
47,Female,Middle,Married,Master's,Middle,Animal Feed,105.29,7,In-Store,2,5,0.0,Low,Very Sensitive,0,1,High,Desktop,Cash,False,True,Need-based,Express,4,other,148
32,Male,Middle,Single,High School,Middle,Hotels,483.66,3,Online,1,4,1.0,Medium,Not Sensitive,2,1,Medium,Desktop,Other,False,False,Impulsive,Standard,9,Regular,268
48,Male,Middle,Married,Bachelor's,Middle,Home Appliances,69.41,8,Mixed,5,3,0.0,High,Somewhat Sensitive,1,9,High,Tablet,Cash,False,False,Wants-based,Standard,5,other,480
20,other,High,Single,Master's,Middle,Toys & Games,207.18,11,Online,1,3,0.0,Low,Somewhat Sensitive,1,5,High,Tablet,PayPal,False,False,Wants-based,Standard,8,other,187
32,Male,Middle,Divorced,High School,High,Health Supplements,454.15,11,In-Store,2,1,1.0,High,Not Sensitive,1,8,High,Smartphone,Cash,True,True,Planned,Express,13,Top customer,165
25,Male,High,Widowed,High School,High,Groceries,113.01,11,In-Store,5,2,2.0,Low,Very Sensitive,1,1,,Tablet,Credit Card,False,True,Impulsive,Express,4,At risk,372
42,Male,Middle,Divorced,Bachelor's,Middle,Packages),419.13,4,Mixed,3,5,1.0,,Not Sensitive,0,1,,Smartphone,Cash,False,True,Wants-based,Express,6,other,292
37,Female,High,Single,Bachelor's,High,Jewelry & Accessories,183.86,5,Mixed,1,1,2.0,Medium,Not Sensitive,1,4,Low,Smartphone,Debit Card,False,True,Wants-based,Standard,3,other,227
21,other,Middle,Widowed,Master's,Middle,Packages),53.87,10,In-Store,4,3,0.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,True,False,Planned,No Preference,2,Regular,331
43,Female,High,Widowed,Bachelor's,High,Food & Beverages,427.82,9,In-Store,5,5,0.0,Medium,Somewhat Sensitive,1,2,Medium,Desktop,PayPal,True,False,Wants-based,No Preference,14,Can't lose,413
29,Female,High,Divorced,Bachelor's,Middle,Packages),282.82,6,In-Store,5,3,2.0,Medium,Very Sensitive,2,7,,Desktop,Other,False,True,Wants-based,Standard,3,At risk,448
28,Male,Middle,Divorced,Master's,Middle,Electronics,215.31,7,Online,5,5,2.0,Medium,Somewhat Sensitive,1,8,Medium,Smartphone,Other,False,True,Impulsive,No Preference,7,other,408
43,Male,Middle,Widowed,Master's,High,Furniture,183.66,11,Online,3,1,1.0,Low,Very Sensitive,0,10,Medium,Tablet,Credit Card,True,True,Planned,No Preference,6,other,399
48,Female,High,Divorced,High School,Middle,Baby Products,198.73,10,In-Store,1,5,2.0,High,Very Sensitive,1,5,,Desktop,Other,True,False,Impulsive,Standard,4,other,475
26,Female,Middle,Married,High School,High,Travel & Leisure (Flights,265.72,5,Mixed,5,4,0.0,,Very Sensitive,0,9,,Tablet,Debit Card,True,True,Planned,Express,13,other,395
42,Male,Middle,Married,Master's,High,Software & Apps,138.35,2,Online,4,5,2.0,Low,Not Sensitive,0,2,Low,Smartphone,Other,True,True,Wants-based,No Preference,8,other,312
27,Male,Middle,Divorced,Bachelor's,Middle,Groceries,441.87,3,Mixed,1,2,1.0,High,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,True,False,Wants-based,No Preference,13,Regular,254
40,Female,Middle,Married,Master's,Middle,Clothing,178.29,4,Mixed,4,3,2.0,Low,Very Sensitive,2,10,High,Desktop,Cash,False,True,Planned,No Preference,8,other,297
23,Male,Middle,Widowed,High School,High,Sports & Outdoors,77.08,10,Mixed,2,1,0.0,High,Not Sensitive,0,8,,Tablet,PayPal,True,True,Impulsive,Standard,1,Regular,219
46,Male,High,Married,High School,High,Office Supplies,266.9,11,Mixed,4,2,2.0,Low,Not Sensitive,1,8,Medium,Desktop,PayPal,False,True,Wants-based,Express,13,Solid customer,325
38,Female,Middle,Divorced,Bachelor's,High,Electronics,269.84,4,In-Store,5,4,0.0,Low,Not Sensitive,2,9,Low,Tablet,Credit Card,True,True,Wants-based,No Preference,2,other,383
23,Male,Middle,Married,Master's,High,Home Appliances,334.22,8,Online,2,2,2.0,,Very Sensitive,2,8,,Tablet,Cash,False,False,Need-based,Standard,1,Can't lose,446
40,Female,Middle,Married,High School,High,Travel & Leisure (Flights,474.56,8,In-Store,1,5,2.0,Low,Not Sensitive,1,6,High,Smartphone,PayPal,True,False,Planned,Standard,12,Can't lose,400
34,Male,High,Married,Master's,High,Electronics,360.91,4,Mixed,3,5,1.0,High,Somewhat Sensitive,0,8,High,Desktop,Credit Card,True,True,Planned,No Preference,4,Regular,265
44,Female,Middle,Widowed,Bachelor's,High,Groceries,373.49,6,Online,4,1,0.0,Medium,Very Sensitive,0,10,Low,Tablet,Cash,True,True,Impulsive,Standard,1,other,394
32,Female,High,Married,Master's,Middle,Sports & Outdoors,462.3,5,Mixed,3,3,2.0,,Not Sensitive,2,4,Medium,Tablet,Cash,True,True,Impulsive,Standard,4,other,178
42,Female,Middle,Single,Master's,Middle,Toys & Games,332.67,8,In-Store,1,4,2.0,Medium,Somewhat Sensitive,1,2,High,Smartphone,Other,False,True,Impulsive,Express,4,Solid customer,162
22,Female,High,Divorced,Master's,Middle,Home Appliances,235.39,9,Online,5,4,1.0,,Not Sensitive,0,6,,Smartphone,Credit Card,False,True,Planned,No Preference,6,other,362
44,Female,Middle,Married,High School,Middle,Packages),269.78,7,In-Store,2,3,1.0,Medium,Somewhat Sensitive,2,7,Medium,Desktop,Other,True,True,Need-based,No Preference,5,Regular,301
29,Male,Middle,Married,Bachelor's,Middle,Gardening & Outdoors,498.33,2,Online,3,5,2.0,Medium,Very Sensitive,1,9,Medium,Smartphone,PayPal,True,True,Wants-based,Express,1,At risk,379
30,Female,High,Single,High School,High,Health Supplements,182.94,7,Mixed,1,5,2.0,,Not Sensitive,2,7,Low,Desktop,Other,True,True,Need-based,Express,12,other,359
19,Female,Middle,Divorced,Master's,High,Health Supplements,121.7,7,Mixed,4,3,0.0,High,Very Sensitive,2,5,,Smartphone,Credit Card,True,True,Planned,Standard,8,other,332
45,Female,High,Widowed,Master's,Middle,Software & Apps,489.27,4,Mixed,1,4,1.0,High,Somewhat Sensitive,1,3,,Tablet,Debit Card,False,False,Wants-based,Standard,3,other,495
38,Male,Middle,Married,Bachelor's,Middle,Software & Apps,303.93,6,Mixed,3,2,0.0,High,Not Sensitive,1,10,Low,Smartphone,Debit Card,True,False,Need-based,No Preference,2,At risk,435
24,Female,Middle,Married,Bachelor's,Middle,Food & Beverages,302.74,11,Mixed,1,5,0.0,High,Very Sensitive,0,6,High,Smartphone,PayPal,True,True,Wants-based,Express,5,Solid customer,328
42,other,High,Single,Bachelor's,High,Beauty & Personal Care,157.21,11,Online,3,3,0.0,Medium,Not Sensitive,0,3,High,Tablet,Debit Card,True,False,Wants-based,Express,5,other,387
46,Female,High,Widowed,High School,High,Sports & Outdoors,159.45,2,Online,3,2,2.0,Medium,Very Sensitive,0,5,,Smartphone,Debit Card,True,False,Impulsive,Standard,14,other,342
44,Female,High,Widowed,High School,Middle,Luxury Goods,312.93,2,In-Store,2,2,1.0,High,Very Sensitive,0,7,,Smartphone,PayPal,True,True,Wants-based,No Preference,3,other,291
38,Male,High,Married,Master's,Middle,Hotels,65.68,4,In-Store,4,4,0.0,Medium,Not Sensitive,0,8,Medium,Smartphone,Other,False,False,Impulsive,Standard,12,other,380
44,Male,Middle,Single,Master's,Middle,Software & Apps,61.86,5,In-Store,4,5,2.0,,Not Sensitive,2,8,,Smartphone,Cash,False,True,Need-based,Standard,9,other,188
18,Female,High,Single,Master's,Middle,Electronics,343.77,6,Mixed,5,4,2.0,,Not Sensitive,2,4,Medium,Desktop,Credit Card,True,False,Impulsive,No Preference,3,other,461
37,Male,Middle,Divorced,Master's,High,Home Appliances,107.21,2,Online,4,2,1.0,,Not Sensitive,2,9,Medium,Desktop,Other,True,True,Planned,Standard,6,other,290
31,other,High,Single,Master's,Middle,Home Appliances,148.98,12,Online,5,1,2.0,,Very Sensitive,0,8,Low,Tablet,Debit Card,True,True,Wants-based,Standard,13,other,284
22,Female,High,Widowed,Master's,Middle,Health Care,490.41,4,Mixed,3,4,0.0,Low,Somewhat Sensitive,0,2,High,Tablet,Other,False,True,Planned,Express,3,other,158
33,Male,High,Married,High School,Middle,Groceries,461.34,4,In-Store,3,1,0.0,High,Somewhat Sensitive,1,9,Low,Desktop,Cash,False,True,Wants-based,Express,7,other,442
20,Female,High,Single,Master's,High,Office Supplies,338.89,7,In-Store,4,2,1.0,Low,Somewhat Sensitive,2,6,,Desktop,Credit Card,True,True,Wants-based,Express,3,other,366
26,Male,High,Married,High School,High,Gardening & Outdoors,222.63,3,Mixed,1,1,0.0,Medium,Somewhat Sensitive,2,2,,Tablet,Cash,False,True,Impulsive,Express,6,other,425
26,Male,High,Married,High School,High,Toys & Games,71.95,2,Mixed,3,5,2.0,,Very Sensitive,2,10,,Desktop,Debit Card,False,True,Planned,No Preference,13,other,242
21,Male,High,Divorced,High School,Middle,Software & Apps,264.52,9,Online,3,3,1.0,,Not Sensitive,0,10,,Smartphone,Debit Card,True,True,Planned,No Preference,6,other,415
43,Male,High,Divorced,High School,High,Food & Beverages,414.8,9,Mixed,2,3,2.0,Low,Very Sensitive,2,9,,Desktop,PayPal,False,True,Planned,No Preference,7,Can't lose,478
50,Male,Middle,Single,Bachelor's,High,Groceries,50.79,12,Mixed,5,1,0.0,Medium,Somewhat Sensitive,0,2,Medium,Desktop,Other,True,False,Planned,Standard,3,Regular,359
42,Female,Middle,Married,High School,Middle,Hotels,264.3,10,In-Store,5,4,1.0,Low,Not Sensitive,2,2,High,Smartphone,PayPal,True,True,Planned,No Preference,5,Solid customer,275
29,Male,High,Married,Bachelor's,Middle,Animal Feed,122.46,12,Mixed,2,3,0.0,High,Not Sensitive,0,3,Low,Tablet,Credit Card,False,True,Wants-based,Standard,6,At risk,462
20,Male,Middle,Widowed,High School,Middle,Software & Apps,238.01,8,In-Store,2,2,0.0,High,Somewhat Sensitive,0,9,Low,Desktop,Cash,False,True,Need-based,Standard,5,other,313
40,other,High,Married,Master's,Middle,Home Appliances,490.34,4,In-Store,5,2,2.0,,Not Sensitive,2,7,High,Tablet,Other,False,True,Need-based,No Preference,2,other,400
38,Male,High,Divorced,Bachelor's,Middle,Jewelry & Accessories,245.98,4,Mixed,5,1,1.0,High,Not Sensitive,0,1,Medium,Desktop,PayPal,False,False,Planned,Standard,10,other,174
45,other,Middle,Widowed,High School,High,Hotels,390.83,9,Online,5,5,0.0,Medium,Somewhat Sensitive,0,5,High,Desktop,Cash,False,True,Impulsive,No Preference,8,Solid customer,206
49,Male,High,Widowed,High School,Middle,Jewelry & Accessories,158.84,6,Online,2,1,1.0,,Not Sensitive,1,8,Low,Desktop,Cash,True,True,Need-based,Express,5,other,314
37,Male,Middle,Single,High School,Middle,Baby Products,439.24,8,Mixed,3,3,1.0,High,Somewhat Sensitive,2,9,Medium,Tablet,Other,False,False,Wants-based,Standard,10,Solid customer,300
23,other,Middle,Widowed,Master's,High,Toys & Games,92.43,12,Mixed,4,1,0.0,Medium,Somewhat Sensitive,2,9,,Smartphone,Other,False,True,Need-based,Standard,6,Regular,168
48,Female,High,Married,Master's,Middle,Clothing,333.15,9,Mixed,1,5,1.0,High,Very Sensitive,1,8,High,Smartphone,Other,False,False,Impulsive,Standard,14,Solid customer,283
19,Male,Middle,Divorced,Master's,Middle,Luxury Goods,64.22,9,Online,1,1,2.0,High,Somewhat Sensitive,1,9,Medium,Smartphone,PayPal,True,False,Impulsive,No Preference,10,other,506
46,Female,High,Single,High School,High,Home Appliances,290.53,3,Online,3,2,1.0,Low,Very Sensitive,0,6,High,Desktop,Debit Card,True,False,Planned,No Preference,10,other,199
39,Male,Middle,Divorced,Bachelor's,High,Baby Products,251.8,6,Mixed,5,1,2.0,High,Very Sensitive,1,8,Low,Smartphone,Debit Card,True,True,Impulsive,No Preference,11,Regular,321
27,other,Middle,Divorced,Master's,Middle,Sports & Outdoors,480.52,3,Online,5,4,2.0,Low,Somewhat Sensitive,1,5,,Smartphone,Cash,False,False,Planned,No Preference,13,At risk,387
28,Female,Middle,Married,High School,High,Packages),461.71,10,Mixed,3,1,0.0,Low,Not Sensitive,0,9,High,Smartphone,Cash,False,False,Planned,Standard,11,Can't lose,461
50,Female,High,Married,High School,Middle,Software & Apps,288.34,12,Mixed,5,2,2.0,,Very Sensitive,0,8,Low,Tablet,Cash,False,False,Need-based,Express,6,Can't lose,428
19,Female,High,Divorced,Bachelor's,High,Gardening & Outdoors,194.08,3,In-Store,5,5,1.0,Low,Not Sensitive,0,2,,Smartphone,PayPal,True,True,Wants-based,Standard,13,other,207
27,other,Middle,Widowed,High School,High,Travel & Leisure (Flights,198.45,11,Online,3,5,1.0,High,Not Sensitive,2,8,High,Tablet,PayPal,True,False,Wants-based,No Preference,5,other,383
23,Male,High,Married,Master's,Middle,Baby Products,216.45,5,Mixed,5,2,0.0,Medium,Very Sensitive,2,7,Low,Tablet,Credit Card,False,False,Need-based,No Preference,3,other,203
19,Female,High,Widowed,Bachelor's,High,Baby Products,358.72,5,In-Store,3,5,1.0,Low,Very Sensitive,0,8,Low,Tablet,Credit Card,True,True,Impulsive,Standard,12,At risk,471
22,Female,Middle,Widowed,Bachelor's,High,Luxury Goods,367.56,9,Online,4,5,1.0,,Not Sensitive,0,8,Low,Smartphone,Other,False,False,Need-based,Standard,14,Solid customer,308
40,Male,Middle,Divorced,High School,High,Clothing,88.78,10,Online,5,3,0.0,High,Very Sensitive,1,7,Medium,Desktop,PayPal,False,False,Planned,Standard,13,At risk,502
48,Male,Middle,Married,Bachelor's,Middle,Food & Beverages,465.85,10,Online,5,3,2.0,,Somewhat Sensitive,2,10,Medium,Desktop,PayPal,True,False,Wants-based,Standard,7,Can't lose,413
49,Male,Middle,Married,High School,High,Clothing,262.61,3,In-Store,2,5,1.0,Medium,Somewhat Sensitive,0,10,Medium,Smartphone,Other,False,True,Wants-based,Standard,6,other,449
45,other,Middle,Widowed,Master's,Middle,Home Appliances,91.24,8,In-Store,4,3,0.0,High,Somewhat Sensitive,0,4,Low,Tablet,Cash,True,False,Wants-based,Standard,4,other,206
42,Female,High,Married,High School,High,Luxury Goods,425.69,5,In-Store,2,5,0.0,High,Very Sensitive,0,4,Medium,Tablet,Credit Card,False,True,Impulsive,No Preference,4,other,335
41,Female,High,Married,Bachelor's,High,Packages),446.11,9,Mixed,3,1,1.0,Medium,Very Sensitive,0,10,Medium,Desktop,PayPal,True,True,Wants-based,Express,11,Solid customer,350
23,other,High,Single,High School,High,Software & Apps,490.11,8,Online,3,4,2.0,Low,Not Sensitive,1,1,Low,Smartphone,Other,False,False,Planned,Standard,14,Solid customer,149
44,Female,High,Divorced,High School,Middle,Sports & Outdoors,403.57,6,Online,2,2,2.0,High,Not Sensitive,2,2,,Smartphone,Other,False,False,Impulsive,Express,1,other,189
42,Female,High,Married,Bachelor's,Middle,Packages),442.15,10,Mixed,2,3,1.0,High,Not Sensitive,2,1,,Smartphone,Credit Card,False,True,Need-based,No Preference,9,Top customer,155
49,Female,Middle,Widowed,Bachelor's,High,Sports & Outdoors,78.71,5,Online,4,3,1.0,,Somewhat Sensitive,1,10,Low,Smartphone,PayPal,True,True,Planned,No Preference,4,other,407
45,Female,Middle,Widowed,High School,High,Furniture,491.51,2,Mixed,2,5,0.0,Medium,Very Sensitive,1,1,High,Smartphone,PayPal,True,False,Need-based,No Preference,7,Regular,167
36,Female,Middle,Single,Bachelor's,Middle,Furniture,457.39,12,In-Store,1,1,1.0,High,Not Sensitive,1,5,High,Desktop,Credit Card,True,False,Impulsive,Standard,9,Top customer,205
38,Female,High,Divorced,High School,High,Food & Beverages,178.61,12,Online,5,1,2.0,High,Not Sensitive,0,3,,Smartphone,Credit Card,True,False,Impulsive,No Preference,8,other,316
44,Male,Middle,Single,High School,Middle,Health Care,492.51,7,Online,1,4,1.0,Low,Not Sensitive,0,2,Medium,Desktop,PayPal,True,True,Wants-based,Standard,4,Can't lose,478
37,other,High,Married,Bachelor's,High,Home Appliances,411.4,3,In-Store,1,3,0.0,High,Somewhat Sensitive,2,9,,Smartphone,PayPal,True,False,Impulsive,Standard,6,other,283
36,Male,Middle,Divorced,Master's,High,Clothing,96.52,11,In-Store,5,3,2.0,Low,Not Sensitive,1,3,,Tablet,Cash,False,False,Planned,Standard,11,At risk,431
34,Male,High,Married,High School,Middle,Mobile Accessories,65.45,6,In-Store,2,4,1.0,High,Very Sensitive,0,2,Medium,Smartphone,Credit Card,True,True,Impulsive,No Preference,3,other,243
23,Male,Middle,Single,High School,Middle,Health Care,255.86,3,Online,4,5,2.0,High,Very Sensitive,0,1,Low,Tablet,PayPal,True,False,Planned,No Preference,4,other,423
35,Male,High,Divorced,Bachelor's,High,Furniture,74.69,10,In-Store,5,3,1.0,Low,Somewhat Sensitive,0,6,Medium,Desktop,PayPal,False,True,Need-based,No Preference,3,Regular,191
45,Male,Middle,Widowed,Master's,Middle,Home Appliances,430.75,8,Mixed,3,4,2.0,Low,Very Sensitive,1,5,,Tablet,Cash,False,False,Need-based,No Preference,6,Can't lose,411
38,Male,High,Widowed,Master's,High,Software & Apps,370.17,2,Mixed,5,4,2.0,Medium,Not Sensitive,1,9,Low,Tablet,Cash,False,True,Need-based,Express,1,other,180
25,Male,Middle,Divorced,Master's,High,Electronics,384.26,6,Mixed,4,2,1.0,High,Not Sensitive,0,9,Medium,Smartphone,PayPal,False,True,Need-based,No Preference,11,other,315
26,Male,Middle,Married,Master's,Middle,Home Appliances,128.01,2,Mixed,4,2,1.0,Medium,Somewhat Sensitive,0,1,High,Smartphone,Debit Card,True,False,Need-based,No Preference,10,other,400
46,Female,High,Married,High School,High,Luxury Goods,301.4,4,Online,5,3,0.0,Medium,Somewhat Sensitive,0,5,,Desktop,Debit Card,False,True,Planned,Standard,5,other,250
18,Female,High,Single,High School,High,Health Supplements,397.25,6,Mixed,5,2,1.0,Low,Not Sensitive,1,10,,Desktop,Cash,False,True,Wants-based,No Preference,2,other,287
46,Male,Middle,Divorced,High School,Middle,Gardening & Outdoors,96.18,3,Mixed,3,4,0.0,,Somewhat Sensitive,1,9,Medium,Smartphone,Cash,False,False,Planned,Express,10,other,382
19,Female,High,Divorced,Bachelor's,High,Baby Products,390.44,4,Mixed,5,1,0.0,Medium,Very Sensitive,0,4,High,Desktop,Other,True,False,Need-based,Standard,4,At risk,462
37,Female,Middle,Single,Bachelor's,Middle,Health Care,61.5,11,Mixed,4,2,0.0,Medium,Very Sensitive,0,1,High,Smartphone,Other,True,True,Planned,Express,8,At risk,482
35,Female,Middle,Divorced,High School,High,Office Supplies,234.44,6,In-Store,3,5,2.0,Medium,Very Sensitive,0,1,High,Desktop,Other,False,True,Impulsive,Express,5,At risk,364
43,Male,Middle,Single,Master's,Middle,Toys & Games,318.84,6,Online,1,1,2.0,Low,Very Sensitive,0,4,High,Tablet,Other,False,True,Wants-based,Standard,10,At risk,397
28,Male,Middle,Single,Master's,High,Toys & Games,327.32,6,Mixed,4,5,0.0,,Somewhat Sensitive,0,4,High,Tablet,Other,True,True,Impulsive,Express,13,other,347
25,Male,Middle,Divorced,Master's,High,Books,475.64,3,Online,3,4,1.0,Low,Very Sensitive,1,2,Medium,Smartphone,PayPal,True,True,Planned,Standard,9,At risk,462
47,Male,High,Widowed,Master's,Middle,Hotels,68.59,9,Mixed,3,4,0.0,Medium,Somewhat Sensitive,2,5,,Smartphone,PayPal,False,True,Wants-based,Standard,5,other,399
